"Ders Kodu

Course Code","Ders Adı

Course Name","Dönem

Term","Yıl

Year","Kalan Öğrenci Sayısı

Fail","Geçen Öğrenci Sayısı

Pass","Ön Koşul Ders(ler)ini Geçen Öğrenci Sayısı

Prerequisite Pass","Hazırlık Okulunu Geçip Derse Kayıt Olabilecek Öğrenci Sayısı

Prep School Pass","Önceki Notunu Yükseltmek için Dersi Alan Öğrenci Sayısı

Raise Grades","Not Ortalamasını Yükseltmek için Dersi Alan Öğrenci Sayısı

Increase GPA","Dersi Alan Yan / Çift Anadal Öğrencilerin Sayısı

Minor / Double Major","Ders Kayıtlı Öğrenci Sayısı

Enrolled Students","Gelecek Dönem Dersi Alacak Öğrenci Sayısı Tahmini

Future Enroll"
CMPE114,Computer Programming II,Fall,2014,25,95,96,0,6,12,2,120,
CMPE114,Computer Programming II,Spring,2015,26,92,98,0,6,12,0,118,
CMPE114,Computer Programming II,Summer,2015,7,32,33,0,10,11,3,39,
CMPE114,Computer Programming II,Fall,2015,28,95,100,0,9,8,1,123,
CMPE114,Computer Programming II,Spring,2016,26,99,97,0,10,9,1,125,
CMPE114,Computer Programming II,Summer,2016,4,32,37,0,10,10,2,36,
CMPE114,Computer Programming II,Fall,2016,30,97,99,0,5,12,0,127,
CMPE114,Computer Programming II,Spring,2017,26,93,96,0,8,11,0,119,
CMPE114,Computer Programming II,Summer,2017,5,30,38,0,10,8,1,35,
CMPE114,Computer Programming II,Fall,2017,26,100,96,0,9,10,0,126,
CMPE114,Computer Programming II,Spring,2018,29,98,98,0,5,10,0,127,
CMPE114,Computer Programming II,Summer,2018,9,36,27,0,5,10,3,45,
CMPE114,Computer Programming II,Fall,2018,27,97,98,0,6,12,0,124,
CMPE114,Computer Programming II,Spring,2019,25,95,96,0,9,10,0,120,
CMPE114,Computer Programming II,Summer,2019,8,31,26,0,7,12,3,39,
CMPE114,Computer Programming II,Fall,2019,28,92,96,0,7,10,2,120,
CMPE114,Computer Programming II,Spring,2020,28,99,96,0,9,10,0,127,
CMPE114,Computer Programming II,Summer,2020,10,39,30,0,9,11,3,49,
CMPE114,Computer Programming II,Fall,2020,26,97,99,0,6,10,3,123,
CMPE114,Computer Programming II,Spring,2021,27,94,98,0,6,11,3,121,
CMPE114,Computer Programming II,Summer,2021,9,32,37,0,10,9,3,41,
CMPE114,Computer Programming II,Fall,2021,30,95,96,0,9,10,2,125,
CMPE114,Computer Programming II,Spring,2022,30,94,96,0,9,10,0,124,
CMPE114,Computer Programming II,Summer,2022,9,34,37,0,10,12,1,43,
CMPE114,Computer Programming II,Fall,2022,27,95,75,0,20,15,10,122,
CMPE114,Computer Programming II,Spring,2023,28,92,80,0,18,12,12,120,
CMPE114,Computer Programming II,Summer,2023,7,35,37,0,11,9,0,42,
SE346,Software Engineering,Fall,2003,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Spring,2004,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Summer,2004,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Fall,2004,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Spring,2005,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Summer,2005,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Fall,2005,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Spring,2006,30,99,0,0,10,5,3,129,
SE346,Software Engineering,Summer,2006,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Fall,2006,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Spring,2007,29,98,0,0,7,3,0,127,
SE346,Software Engineering,Summer,2007,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Fall,2007,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Spring,2008,25,98,0,0,8,4,2,123,
SE346,Software Engineering,Summer,2008,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Fall,2008,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Spring,2009,30,95,0,0,8,3,0,125,
SE346,Software Engineering,Summer,2009,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Fall,2009,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Spring,2010,27,95,0,0,8,1,3,122,
SE346,Software Engineering,Summer,2010,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Fall,2010,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Spring,2011,29,100,0,0,9,0,0,129,
SE346,Software Engineering,Summer,2011,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Fall,2011,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Spring,2012,27,98,0,0,5,4,2,125,
SE346,Software Engineering,Summer,2012,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Fall,2012,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Spring,2013,30,95,0,0,10,1,2,125,
SE346,Software Engineering,Summer,2013,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Fall,2013,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Spring,2014,29,100,0,0,6,0,1,129,
SE346,Software Engineering,Summer,2014,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Fall,2014,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Spring,2015,30,99,0,0,8,2,3,129,
SE346,Software Engineering,Summer,2015,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Fall,2015,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Spring,2016,29,99,0,0,10,2,2,128,
SE346,Software Engineering,Summer,2016,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Fall,2016,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Spring,2017,29,93,0,0,9,0,4,122,
SE346,Software Engineering,Summer,2017,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Fall,2017,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Spring,2018,27,100,0,0,6,4,3,127,
SE346,Software Engineering,Summer,2018,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Fall,2018,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Spring,2019,25,92,0,0,5,2,4,117,
SE346,Software Engineering,Summer,2019,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Fall,2019,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Spring,2020,27,98,0,0,8,4,0,125,
SE346,Software Engineering,Summer,2020,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Fall,2020,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Spring,2021,25,95,0,0,7,2,2,120,
SE346,Software Engineering,Summer,2021,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Fall,2021,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Spring,2022,26,99,0,0,10,0,4,125,
SE346,Software Engineering,Summer,2022,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Fall,2022,0,0,0,0,0,0,0,0,
SE346,Software Engineering,Spring,2023,25,94,0,0,0,0,0,119,
SE346,Software Engineering,Summer,2023,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Fall,2003,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Spring,2004,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Summer,2004,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Fall,2004,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Spring,2005,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Summer,2005,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Fall,2005,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Spring,2006,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Summer,2006,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Fall,2006,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Spring,2007,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Summer,2007,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Fall,2007,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Spring,2008,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Summer,2008,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Fall,2008,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Spring,2009,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Summer,2009,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Fall,2009,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Spring,2010,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Summer,2010,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Fall,2010,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Spring,2011,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Summer,2011,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Fall,2011,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Spring,2012,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Summer,2012,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Fall,2012,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Spring,2013,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Summer,2013,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Fall,2013,5,25,0,24,3,3,0,30,
CMPE 109,Fundamentals of Calculation,Spring,2014,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Summer,2014,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Fall,2014,13,30,0,45,2,3,1,43,
CMPE 109,Fundamentals of Calculation,Spring,2015,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Summer,2015,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Fall,2015,12,36,0,40,3,1,2,48,
CMPE 109,Fundamentals of Calculation,Spring,2016,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Summer,2016,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Fall,2016,19,43,0,55,2,1,3,62,
CMPE 109,Fundamentals of Calculation,Spring,2017,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Summer,2017,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Fall,2017,25,125,0,130,3,4,5,150,
CMPE 109,Fundamentals of Calculation,Spring,2018,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Summer,2018,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Fall,2018,30,170,0,170,4,3,5,200,
CMPE 109,Fundamentals of Calculation,Spring,2019,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Summer,2019,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Fall,2019,35,165,0,160,4,5,6,200,
CMPE 109,Fundamentals of Calculation,Spring,2020,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Summer,2020,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Fall,2020,30,190,0,180,5,4,7,220,
CMPE 109,Fundamentals of Calculation,Spring,2021,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Summer,2021,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Fall,2021,72,194,0,157,31,20,15,266,
CMPE 109,Fundamentals of Calculation,Spring,2022,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Summer,2022,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Fall,2022,77,227,0,217,47,34,17,304,
CMPE 109,Fundamentals of Calculation,Spring,2023,0,0,0,0,0,0,0,0,
CMPE 109,Fundamentals of Calculation,Summer,2023,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Fall,2003,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Spring,2004,15,56,0,0,7,2,0,71,
SE 328,Algorithm and optimization methods,Summer,2004,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Fall,2004,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Spring,2005,9,53,0,0,5,2,0,62,
SE 328,Algorithm and optimization methods,Summer,2005,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Fall,2005,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Spring,2006,12,53,0,0,7,2,0,65,
SE 328,Algorithm and optimization methods,Summer,2006,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Fall,2006,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Spring,2007,8,51,0,0,10,10,3,59,
SE 328,Algorithm and optimization methods,Summer,2007,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Fall,2007,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Spring,2008,7,72,0,0,10,8,0,79,
SE 328,Algorithm and optimization methods,Summer,2008,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Fall,2008,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Spring,2009,15,59,0,0,8,11,2,74,
SE 328,Algorithm and optimization methods,Summer,2009,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Fall,2009,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Spring,2010,7,75,0,0,5,9,0,82,
SE 328,Algorithm and optimization methods,Summer,2010,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Fall,2010,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Spring,2011,12,58,0,0,9,12,1,70,
SE 328,Algorithm and optimization methods,Summer,2011,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Fall,2011,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Spring,2012,16,75,0,0,5,8,0,91,
SE 328,Algorithm and optimization methods,Summer,2012,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Fall,2012,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Spring,2013,6,74,0,0,10,11,3,80,
SE 328,Algorithm and optimization methods,Summer,2013,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Fall,2013,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Spring,2014,11,56,0,0,6,11,3,67,
SE 328,Algorithm and optimization methods,Summer,2014,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Fall,2014,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Spring,2015,7,75,0,0,7,9,1,82,
SE 328,Algorithm and optimization methods,Summer,2015,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Fall,2015,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Spring,2016,13,60,0,0,6,10,2,73,
SE 328,Algorithm and optimization methods,Summer,2016,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Fall,2016,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Spring,2017,14,63,0,0,5,12,3,77,
SE 328,Algorithm and optimization methods,Summer,2017,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Fall,2017,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Spring,2018,8,62,0,0,6,9,2,70,
SE 328,Algorithm and optimization methods,Summer,2018,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Fall,2018,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Spring,2019,5,57,0,0,10,10,1,62,
SE 328,Algorithm and optimization methods,Summer,2019,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Fall,2019,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Spring,2020,13,65,0,0,5,11,0,78,
SE 328,Algorithm and optimization methods,Summer,2020,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Fall,2020,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Spring,2021,5,69,0,0,10,9,0,74,
SE 328,Algorithm and optimization methods,Summer,2021,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Fall,2021,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Spring,2022,13,65,0,0,9,10,2,78,
SE 328,Algorithm and optimization methods,Summer,2022,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Fall,2022,0,0,0,0,0,0,0,0,
SE 328,Algorithm and optimization methods,Spring,2023,12,69,0,0,8,10,1,81,
SE 328,Algorithm and optimization methods,Summer,2023,0,0,0,0,0,0,0,0,
CMPE 226,Data Structures,Fall,2003,26,76,97,0,9,11,3,102,
CMPE 226,Data Structures,Spring,2004,40,86,95,0,9,12,3,126,
CMPE 226,Data Structures,Summer,2004,0,0,0,0,0,0,0,0,
CMPE 226,Data Structures,Fall,2004,30,78,100,0,7,10,0,108,
CMPE 226,Data Structures,Spring,2005,25,77,96,0,6,11,0,102,
CMPE 226,Data Structures,Summer,2005,0,0,0,0,0,0,0,0,
CMPE 226,Data Structures,Fall,2005,27,76,97,0,6,11,3,103,
CMPE 226,Data Structures,Spring,2006,25,81,96,0,9,9,0,106,
CMPE 226,Data Structures,Summer,2006,0,0,0,0,0,0,0,0,
CMPE 226,Data Structures,Fall,2006,25,79,100,0,7,9,1,104,
CMPE 226,Data Structures,Spring,2007,29,83,99,0,7,12,0,112,
CMPE 226,Data Structures,Summer,2007,0,0,0,0,0,0,0,0,
CMPE 226,Data Structures,Fall,2007,30,89,95,0,8,12,1,119,
CMPE 226,Data Structures,Spring,2008,27,77,99,0,10,12,2,104,
CMPE 226,Data Structures,Summer,2008,0,0,0,0,0,0,0,0,
CMPE 226,Data Structures,Fall,2008,30,78,98,0,5,12,3,108,
CMPE 226,Data Structures,Spring,2009,27,88,96,0,6,10,3,115,
CMPE 226,Data Structures,Summer,2009,0,0,0,0,0,0,0,0,
CMPE 226,Data Structures,Fall,2009,25,78,98,0,7,8,1,103,
CMPE 226,Data Structures,Spring,2010,25,70,98,0,5,12,0,95,
CMPE 226,Data Structures,Summer,2010,0,0,0,0,0,0,0,0,
CMPE 226,Data Structures,Fall,2010,26,83,100,0,7,10,2,109,
CMPE 226,Data Structures,Spring,2011,25,83,98,0,10,8,1,108,
CMPE 226,Data Structures,Summer,2011,0,0,0,0,0,0,1,0,
CMPE 226,Data Structures,Fall,2011,25,83,97,0,5,12,0,108,
CMPE 226,Data Structures,Spring,2012,29,73,98,0,10,12,2,102,
CMPE 226,Data Structures,Summer,2012,0,0,0,0,0,0,0,0,
CMPE 226,Data Structures,Fall,2012,29,75,100,0,6,8,3,104,
CMPE 226,Data Structures,Spring,2013,28,74,100,0,6,8,0,102,
CMPE 226,Data Structures,Summer,2013,0,0,0,0,0,0,2,0,
CMPE 226,Data Structures,Fall,2013,29,80,99,0,7,8,1,109,
CMPE 226,Data Structures,Spring,2014,28,75,95,0,6,8,0,103,
CMPE 226,Data Structures,Summer,2014,0,0,0,0,0,0,0,0,
CMPE 226,Data Structures,Fall,2014,25,72,96,0,5,10,0,97,
CMPE 226,Data Structures,Spring,2015,27,73,99,0,9,12,2,100,
CMPE 226,Data Structures,Summer,2015,0,0,0,0,0,0,2,0,
CMPE 226,Data Structures,Fall,2015,29,88,99,0,9,11,1,117,
CMPE 226,Data Structures,Spring,2016,30,88,96,0,6,12,2,118,
CMPE 226,Data Structures,Summer,2016,0,0,0,0,0,0,0,0,
CMPE 226,Data Structures,Fall,2016,28,87,95,0,8,8,1,115,
CMPE 226,Data Structures,Spring,2017,25,72,100,0,8,10,0,97,
CMPE 226,Data Structures,Summer,2017,0,0,0,0,0,0,0,0,
CMPE 226,Data Structures,Fall,2017,25,77,100,0,7,12,0,102,
CMPE 226,Data Structures,Spring,2018,29,88,100,0,5,9,0,117,
CMPE 226,Data Structures,Summer,2018,0,0,0,0,0,0,3,0,
CMPE 226,Data Structures,Fall,2018,27,87,98,0,10,8,0,114,
CMPE 226,Data Structures,Spring,2019,25,83,97,0,7,12,0,108,
CMPE 226,Data Structures,Summer,2019,0,0,0,0,0,0,0,0,
CMPE 226,Data Structures,Fall,2019,29,88,98,0,10,8,3,117,
CMPE 226,Data Structures,Spring,2020,27,88,98,0,8,10,0,115,
CMPE 226,Data Structures,Summer,2020,8,22,0,0,0,0,0,30,
CMPE 226,Data Structures,Fall,2020,28,74,99,0,5,12,0,102,
CMPE 226,Data Structures,Spring,2021,27,88,98,0,6,9,2,115,
CMPE 226,Data Structures,Summer,2021,8,17,0,0,0,0,0,25,
CMPE 226,Data Structures,Fall,2021,26,79,95,0,10,12,1,105,
CMPE 226,Data Structures,Spring,2022,26,72,97,0,8,12,0,98,
CMPE 226,Data Structures,Summer,2022,3,15,0,0,0,0,0,18,
CMPE 226,Data Structures,Fall,2022,26,89,75,0,20,15,10,115,
CMPE 226,Data Structures,Spring,2023,27,83,80,0,18,12,12,110,
CMPE 226,Data Structures,Summer,2023,0,0,0,0,0,0,0,0,
CMPE 225,Object Oriented Programing,Fall,2003,29,93,95,0,10,11,2,122,
CMPE 225,Object Oriented Programing,Spring,2004,40,94,95,0,8,11,1,134,
CMPE 225,Object Oriented Programing,Summer,2004,0,0,0,0,0,0,0,0,
CMPE 225,Object Oriented Programing,Fall,2004,30,94,96,0,5,8,1,124,
CMPE 225,Object Oriented Programing,Spring,2005,28,92,100,0,10,11,1,120,
CMPE 225,Object Oriented Programing,Summer,2005,0,0,0,0,0,0,0,0,
CMPE 225,Object Oriented Programing,Fall,2005,30,99,98,0,9,11,2,129,
CMPE 225,Object Oriented Programing,Spring,2006,25,92,95,0,10,8,3,117,
CMPE 225,Object Oriented Programing,Summer,2006,0,0,0,0,0,0,0,0,
CMPE 225,Object Oriented Programing,Fall,2006,27,99,96,0,7,10,3,126,
CMPE 225,Object Oriented Programing,Spring,2007,25,96,96,0,5,11,0,121,
CMPE 225,Object Oriented Programing,Summer,2007,0,0,0,0,0,0,0,0,
CMPE 225,Object Oriented Programing,Fall,2007,27,99,97,0,9,10,1,126,
CMPE 225,Object Oriented Programing,Spring,2008,29,97,100,0,5,8,1,126,
CMPE 225,Object Oriented Programing,Summer,2008,0,0,0,0,0,0,0,0,
CMPE 225,Object Oriented Programing,Fall,2008,26,98,96,0,10,8,2,124,
CMPE 225,Object Oriented Programing,Spring,2009,25,100,97,0,9,11,3,125,
CMPE 225,Object Oriented Programing,Summer,2009,0,0,0,0,0,0,0,0,
CMPE 225,Object Oriented Programing,Fall,2009,25,93,95,0,5,10,0,118,
CMPE 225,Object Oriented Programing,Spring,2010,28,92,98,0,7,8,0,120,
CMPE 225,Object Oriented Programing,Summer,2010,0,0,0,0,0,0,0,0,
CMPE 225,Object Oriented Programing,Fall,2010,25,96,95,0,5,8,0,121,
CMPE 225,Object Oriented Programing,Spring,2011,27,92,98,0,10,10,0,119,
CMPE 225,Object Oriented Programing,Summer,2011,0,0,0,0,0,0,0,0,
CMPE 225,Object Oriented Programing,Fall,2011,30,92,97,0,9,10,0,122,
CMPE 225,Object Oriented Programing,Spring,2012,29,96,97,0,7,8,2,125,
CMPE 225,Object Oriented Programing,Summer,2012,0,0,0,0,0,0,0,0,
CMPE 225,Object Oriented Programing,Fall,2012,28,96,96,0,5,9,0,124,
CMPE 225,Object Oriented Programing,Spring,2013,28,92,100,0,5,12,2,120,
CMPE 225,Object Oriented Programing,Summer,2013,0,0,0,0,0,0,3,0,
CMPE 225,Object Oriented Programing,Fall,2013,27,93,99,0,6,8,2,120,
CMPE 225,Object Oriented Programing,Spring,2014,26,92,97,0,9,8,1,118,
CMPE 225,Object Oriented Programing,Summer,2014,6,28,30,0,5,10,3,34,
CMPE 225,Object Oriented Programing,Fall,2014,29,99,97,0,7,10,1,128,
CMPE 225,Object Oriented Programing,Spring,2015,30,94,95,0,8,11,3,124,
CMPE 225,Object Oriented Programing,Summer,2015,7,32,33,0,6,11,1,39,
CMPE 225,Object Oriented Programing,Fall,2015,30,98,99,0,8,12,1,128,
CMPE 225,Object Oriented Programing,Spring,2016,28,92,95,0,7,8,1,120,
CMPE 225,Object Oriented Programing,Summer,2016,4,32,37,0,7,8,0,36,
